butano-service	required_full_boot	dockerfile	valid	services/butano-service/Dockerfile		docker_build
envoy	required_full_boot	official_image	valid		envoyproxy/envoy:v1.31-latest	helm_or_upstream_pull
experience-bff	required_full_boot	shared_template	valid	services/experience-bff/Dockerfile		docker_build_or_build-runtime-image-from-jar.sh
fhir-gateway-service	required_full_boot	shared_template	valid	services/fhir-gateway-service/Dockerfile		docker_build_or_build-runtime-image-from-jar.sh
hapi-fhir	required_full_boot	official_image	valid		hapiproject/hapi:v7.4.0	helm_or_upstream_pull
kafka	required_full_boot	official_image	valid		apache/kafka:3.7.1	helm_or_upstream_pull
keycloak	required_full_boot	official_image	valid		quay.io/keycloak/keycloak:25.0	helm_or_upstream_pull
minio	required_full_boot	official_image	valid		minio/minio:latest	helm_or_upstream_pull
one-ui-shell	required_full_boot	dockerfile	valid	ui/one-ui-shell/Dockerfile		docker_build
pct-service	required_full_boot	shared_template	valid	services/pct-service/Dockerfile		docker_build_or_build-runtime-image-from-jar.sh
postgres	required_full_boot	official_image	valid		postgres:16-alpine	helm_or_upstream_pull
redis	required_full_boot	official_image	valid		redis:7-alpine	helm_or_upstream_pull
tshepo-audit-service	required_full_boot	dockerfile	valid	services/tshepo-audit-service/Dockerfile		docker_build
tshepo-authz-service	required_full_boot	jib	valid	services/tshepo-authz-service/Dockerfile		shared_template_or_jib
tshepo-consent-service	required_full_boot	dockerfile	valid	services/tshepo-consent-service/Dockerfile		docker_build
tshepo-identity-service	required_full_boot	shared_template	valid	services/tshepo-identity-service/Dockerfile		docker_build_or_build-runtime-image-from-jar.sh
tshepo-keys-service	required_full_boot	dockerfile	valid	services/tshepo-keys-service/Dockerfile		docker_build
tuso-service	required_full_boot	shared_template	valid	services/tuso-service/Dockerfile		docker_build_or_build-runtime-image-from-jar.sh
ubomi-service	required_full_boot	shared_template	valid	services/ubomi-service/Dockerfile		docker_build_or_build-runtime-image-from-jar.sh
varapi-service	required_full_boot	shared_template	valid	services/varapi-service/Dockerfile		docker_build_or_build-runtime-image-from-jar.sh
vito-service	required_full_boot	shared_template	valid	services/vito-service/Dockerfile		docker_build_or_build-runtime-image-from-jar.sh
zibo-service	required_full_boot	shared_template	valid	services/zibo-service/Dockerfile		docker_build_or_build-runtime-image-from-jar.sh
