LAST SEEN   TYPE      REASON      OBJECT                                         MESSAGE
110s        Warning   Unhealthy   pod/varapi-service-65b4c87587-xplzg            Liveness probe failed: Get "http://10.42.0.159:8083/actuator/health": dial tcp 10.42.0.159:8083: connect: connection refused
108s        Warning   Unhealthy   pod/pct-service-7d6545cf54-8gs96               Readiness probe failed: Get "http://10.42.0.155:8088/actuator/health": dial tcp 10.42.0.155:8088: connect: connection refused
107s        Warning   Unhealthy   pod/tshepo-identity-service-56758b8fbb-z242p   Readiness probe failed: Get "http://10.42.0.157:8181/actuator/health": dial tcp 10.42.0.157:8181: connect: connection refused
105s        Warning   Unhealthy   pod/vito-service-657bfbbf4-f9k7q               Readiness probe failed: Get "http://10.42.0.167:8082/actuator/health": dial tcp 10.42.0.167:8082: connect: connection refused
104s        Warning   Unhealthy   pod/fhir-gateway-service-79754d64cf-7w98h      Readiness probe failed: Get "http://10.42.0.152:8091/actuator/health": dial tcp 10.42.0.152:8091: connect: connection refused
103s        Warning   Unhealthy   pod/tshepo-consent-service-5858c8f489-z7tnt    Readiness probe failed: Get "http://10.42.0.153:8182/actuator/health": dial tcp 10.42.0.153:8182: connect: connection refused
103s        Warning   Unhealthy   pod/zibo-service-6866b9b8d7-knr4x              Readiness probe failed: Get "http://10.42.0.163:8085/actuator/health": dial tcp 10.42.0.163:8085: connect: connection refused
100s        Warning   Unhealthy   pod/tuso-service-56d7c4fc6b-jhr25              Readiness probe failed: Get "http://10.42.0.160:8084/actuator/health": dial tcp 10.42.0.160:8084: connect: connection refused
91s         Normal    Killing     pod/tshepo-audit-service-955f64f68-7z9cm       Container tshepo-audit-service failed liveness probe, will be restarted
91s         Normal    Killing     pod/tshepo-identity-service-56758b8fbb-z242p   Container tshepo-identity-service failed liveness probe, will be restarted
91s         Normal    Killing     pod/tshepo-authz-service-7d9dfdc775-97ft6      Container tshepo-authz-service failed liveness probe, will be restarted
91s         Normal    Killing     pod/tshepo-keys-service-77b948d545-w7tpm       Container tshepo-keys-service failed liveness probe, will be restarted
90s         Warning   Unhealthy   pod/butano-service-6dcdc465f8-f2kvr            Readiness probe failed: Get "http://10.42.0.166:8090/actuator/health": dial tcp 10.42.0.166:8090: connect: connection refused
90s         Normal    Killing     pod/varapi-service-65b4c87587-xplzg            Container varapi-service failed liveness probe, will be restarted
90s         Normal    Killing     pod/zibo-service-6866b9b8d7-knr4x              Container zibo-service failed liveness probe, will be restarted
89s         Normal    Killing     pod/vito-service-657bfbbf4-f9k7q               Container vito-service failed liveness probe, will be restarted
71s         Normal    Killing     pod/pct-service-7d6545cf54-8gs96               Container pct-service failed liveness probe, will be restarted
71s         Normal    Killing     pod/fhir-gateway-service-79754d64cf-7w98h      Container fhir-gateway-service failed liveness probe, will be restarted
71s         Normal    Killing     pod/tshepo-consent-service-5858c8f489-z7tnt    Container tshepo-consent-service failed liveness probe, will be restarted
49s         Normal    Killing     pod/butano-service-6dcdc465f8-f2kvr            Container butano-service failed liveness probe, will be restarted
